CLID	CLID	S1	S2	S3	S4	S5	S6	S7	S8	S9	S10	S11	S12
CLID	CLID	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Immune_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_Keratin_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043	Melanoma_Scorr_MITF.low_Cell.2015_PMID.26091043
949	SCARB1|949	1.187557194	1.187557194	1.187557194	1.187557194	1.187557194	1.187557194	1.187557194	1.187557194	0.81476586	0.81476586	0.81476586	0.81476586
951	CD37|951	0.680781915	0.680781915	0.680781915	0.680781915	0.237007857	0.237007857	0.237007857	0.237007857	0.237007857	0.237007857	0.237007857	0.237007857
952	CD38|952	0.087446957	0.087446957	0.087446957	0.087446957	-0.598907828	-0.598907828	-0.598907828	-0.598907828	-0.598907828	-0.598907828	-0.598907828	-0.598907828
958	CD40|958	0.103318651	0.103318651	0.103318651	0.103318651	-0.15129204	-0.15129204	-0.15129204	-0.15129204	0.103318651	0.103318651	0.103318651	0.103318651
959	CD40LG|959	-0.780231301	-0.780231301	-0.780231301	-0.780231301	-1.313670953	-1.313670953	-1.313670953	-1.313670953	-1.313670953	-1.313670953	-1.313670953	-1.313670953
962	CD48|962	0.521025171	0.521025171	0.521025171	0.521025171	-0.013548455	-0.013548455	-0.013548455	-0.013548455	-0.013548455	-0.013548455	-0.013548455	-0.013548455
963	CD53|963	0.926959039	0.926959039	0.926959039	0.926959039	0.461146174	0.461146174	0.461146174	0.461146174	0.461146174	0.461146174	0.461146174	0.461146174
969	CD69|969	-0.203549454	-0.203549454	-0.203549454	-0.203549454	-0.773145205	-0.773145205	-0.773145205	-0.773145205	-0.773145205	-0.773145205	-0.773145205	-0.773145205
971	CD72|971	0.169332471	0.169332471	0.169332471	0.169332471	-0.303936915	-0.303936915	-0.303936915	-0.303936915	-0.303936915	-0.303936915	-0.303936915	-0.303936915
972	CD74|972	2.611480616	2.611480616	2.611480616	2.611480616	2.148510326	2.148510326	2.148510326	2.148510326	2.148510326	2.148510326	2.148510326	2.148510326
973	CD79A|973	0.511347712	0.511347712	0.511347712	0.511347712	-0.337038816	-0.337038816	-0.337038816	-0.337038816	-0.337038816	-0.337038816	-0.337038816	-0.337038816
975	CD81|975	1.898944013	1.898944013	1.898944013	1.898944013	1.898944013	1.898944013	1.898944013	1.898944013	1.723224622	1.723224622	1.723224622	1.723224622
999	CDH1|999	0.707955022	0.707955022	0.707955022	0.707955022	0.707955022	0.707955022	0.707955022	0.707955022	-0.24672411	-0.24672411	-0.24672411	-0.24672411
1001	CDH3|1001	0.567883275	0.567883275	0.567883275	0.567883275	0.567883275	0.567883275	0.567883275	0.567883275	-0.327625734	-0.327625734	-0.327625734	-0.327625734
1017	CDK2|1017	1.323218724	1.323218724	1.323218724	1.323218724	1.323218724	1.323218724	1.323218724	1.323218724	0.952766096	0.952766096	0.952766096	0.952766096
1041	CDSN|1041	-1.254379787	-1.254379787	-1.254379787	-1.254379787	-0.610530778	-0.610530778	-0.610530778	-0.610530778	-1.254379787	-1.254379787	-1.254379787	-1.254379787
1043	CD52|1043	0.563513501	0.563513501	0.563513501	0.563513501	0.04573481	0.04573481	0.04573481	0.04573481	0.04573481	0.04573481	0.04573481	0.04573481
1050	CEBPA|1050	0.059630526	0.059630526	0.059630526	0.059630526	0.059630526	0.059630526	0.059630526	0.059630526	-0.347663799	-0.347663799	-0.347663799	-0.347663799
1186	CLCN7|1186	1.486350048	1.486350048	1.486350048	1.486350048	1.486350048	1.486350048	1.486350048	1.486350048	1.210169686	1.210169686	1.210169686	1.210169686
1193	CLIC2|1193	-0.152112328	-0.152112328	-0.152112328	-0.152112328	-0.465896874	-0.465896874	-0.465896874	-0.465896874	-0.152112328	-0.152112328	-0.152112328	-0.152112328
