CLID	Name	4180	4175	4173	4142	3481	SCP 6	SCP 21	SCP 26	Parental	SCP 25	SCP 46	SCP 2	1833
"(Pcorr_Breast2Lung_LM2=LM2 like, Pcorr_Breast2Lung_Parental=Parental like)"	NaN	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_LM2_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480	Pcorr_Breast2Lung_Parental_Correlation_Nature.2005_PMID.16049480
8623	Acetylserotonin O-methyltransferase-like	-2.163	-1.946	-2.465	-0.748	-0.606	1.139	1.415	0.899	1.146	0.391	-0.6	0.279	0
6624	"Fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)"	1.1	1.664	1.646	0.504	0.826	-3.099	-1.689	-1.212	-0.522	0	-1.981	-0.159	0.712
3887	keratin 81	0.227	0.745	0.578	2.053	1.824	-1.928	-4.248	-2.252	-2.059	0	-2.358	0.351	-2.328
2202	EGF-containing fibulin-like extracellular matrix protein 1	-0.92	-2.357	-1.892	-2.463	-1.434	0.91	0	0.634	0.437	0.486	0.964	0.296	-1.275
9282	"Cofactor required for Sp1 transcriptional activation, subunit 2, 150kDa"	-0.33	-0.485	-0.175	-0.282	-0.623	0.843	1.729	2.034	1.375	-0.562	0.448	0	0.175
4052	Latent transforming growth factor beta binding protein 1	1.754	1.734	1.646	1.062	1.383	-0.435	-1.984	-1.841	0	-1.68	-0.35	-2.108	0.987
55034	Molybdenum cofactor sulfurase	-0.952	-1.549	-1.193	-1.328	-0.996	0.642	0.792	0.376	0.535	-1.043	0.217	0	0.368
27290	"Serine peptidase inhibitor, Kazal type 4"	-1.137	-2.577	-2.882	-1.66	-1.904	0.501	0	1.506	0.66	0.291	0.474	0.053	-1.71
9915	Aryl-hydrocarbon receptor nuclear translocator 2	-0.333	-0.985	-1.32	-1.372	-0.762	1.307	1.444	1.249	1.362	0	0.128	-0.422	0.186
4919	Receptor tyrosine kinase-like orphan receptor 1	-1.046	-0.946	-1.119	-0.658	-0.076	0.807	1.091	0.156	0.901	0.153	0	-0.351	0.172
